Timeframe,Level Type,Level,Found Timestamp
10D,Resistance,246.897,6/12/2024
2D/3D,Resistance,241.818,15/11/2021
1D,Resistance,230.524,21/11/2024
5D,Resistance,229.649,26/11/2024
1D,Resistance,225.513,16/12/2024
1D,Resistance,224.787,5/12/2024
1D,Resistance,222.2251,18/11/2021
9D,Resistance,221.823,29/11/2024
1D,Resistance,220.747,14/11/2024
15W/105D,Resistance,215.6,11/11/2024
3D,Resistance,215.3966,25/10/2021
1D,Resistance,213.367,17/11/2024
1D,Resistance,206.78,15/11/2024
3W/20D,Resistance,204.0859,24/12/2021
1D/1W/13D,Resistance,203.6082,1/04/2024
1W/2D/3D/4D/5D/6D/7D/8D/9D/10D/15D/17D,Resistance,200.484,24/12/2021
3D/6D/6D/10D,Resistance,199.8951,31/03/2024
1D,Resistance,199.618,21/12/2024
104D,Resistance,197.992,8/11/2024
1D,Resistance,196.1866,9/12/2021
7D,Resistance,193.4422,24/12/2021
8W/10W/56D/68D/69D/70D/102D,Resistance,188.7855,17/06/2024
1W/2W/5W/6W/2D/5D/6D/10D/11D/35D/42D,Resistance,188.4436,29/07/2024
1D,Resistance,187.8631,8/12/2021
1D,Resistance,187.3015,31/10/2021
1D,Resistance,186.5725,29/07/2024
8D,Resistance,186.5,25/11/2021
8D/9D/16D/23D/26D/41D/51D/52D,Resistance,185.25,27/07/2024
2D,Resistance,184.1609,19/12/2021
6D,Support,182.6874,27/11/2021
2D,Support,182.5368,8/04/2024
1W/6D,Support,179.275,28/10/2024
1D,Support,176.9898,23/12/2021
5W/35D,Support,175.7737,20/05/2024
1D,Support,175.5966,31/12/2021
1D,Support,175.5485,11/04/2024
6D,Support,172.5074,5/06/2024
3D/4D,Support,171.9126,5/06/2024
2D,Support,170.4755,25/07/2024
40D,Support,163.6102,19/07/2024
3D/4D/6D,Support,163.591,2/06/2024
1D,Support,162.4881,17/07/2024
33D,Support,162.4881,17/07/2024
2D/4D/8D,Support,161.457,29/09/2024
15D,Support,161.3181,12/12/2021
9D,Support,158.9,2/11/2024
5D/6D,Support,158.037,27/09/2024
1W/2W/2D/4D/7D/11D,Support,157.825,4/11/2024
8D,Support,156.0968,22/04/2024
4D,Support,154.8212,8/08/2024
6D,Support,153.3091,13/01/2022
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
