pivot_time,prior_bearish_time,bullish_break_time,prior_bearish_open,pivot_open,bullish_close,distance_n
2024-01-25 00:00:00,2024-01-22 00:00:00,2024-01-28 00:00:00,91.1404,88.6755,95.9945,3
2024-02-25 00:00:00,2024-02-22 00:00:00,2024-02-28 00:00:00,105.1691,104.158,119.5873,3
2024-03-23 00:00:00,2024-03-22 00:00:00,2024-03-24 00:00:00,179.8204,175.2,183.8189,1
2024-04-17 00:00:00,2024-04-16 00:00:00,2024-04-18 00:00:00,138.6682,135.9935,141.7982,1
2024-05-05 00:00:00,2024-04-25 00:00:00,2024-05-15 00:00:00,147.6952,146.0386,158.3151,10
2024-05-07 00:00:00,2024-04-24 00:00:00,2024-05-20 00:00:00,154.8361,152.6909,186.6979,13
2024-05-12 00:00:00,2024-05-11 00:00:00,2024-05-13 00:00:00,145.9483,145.2432,147.4013,1
2024-05-14 00:00:00,2024-05-10 00:00:00,2024-05-18 00:00:00,152.3782,147.4013,172.4182,4
2024-06-02 00:00:00,2024-05-31 00:00:00,2024-06-04 00:00:00,166.9405,166.2999,171.7142,2
2024-07-11 00:00:00,2024-07-07 00:00:00,2024-07-15 00:00:00,142.756,141.9939,159.2615,4
2024-07-25 00:00:00,2024-07-23 00:00:00,2024-07-27 00:00:00,178.8983,177.8975,183.7239,2
2024-08-05 00:00:00,2024-08-04 00:00:00,2024-08-06 00:00:00,142.5299,138.0499,144.2094,1
2024-09-14 00:00:00,2024-08-30 00:00:00,2024-09-29 00:00:00,139.956,138.921,158.412,15
2024-09-25 00:00:00,2024-08-27 00:00:00,2024-10-24 00:00:00,156.974,152.687,177.086,29
2024-10-10 00:00:00,2024-10-09 00:00:00,2024-10-11 00:00:00,143.401,139.29,145.484,1
2024-10-17 00:00:00,2024-10-16 00:00:00,2024-10-18 00:00:00,154.651,154.217,154.855,1
2024-10-21 00:00:00,2024-08-01 00:00:00,2025-01-10 00:00:00,171.6147,167.406,187.592,81
2024-11-04 00:00:00,2024-11-03 00:00:00,2024-11-05 00:00:00,166.099,162.462,166.556,1
2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-21 00:00:00,239.992,237.662,256.678,1
2024-12-04 00:00:00,2024-12-02 00:00:00,2024-12-06 00:00:00,237.066,234.183,237.088,2
2024-12-26 00:00:00,2024-12-19 00:00:00,2025-01-02 00:00:00,206.451,197.331,208.292,7
2024-12-31 00:00:00,2024-12-29 00:00:00,2025-01-02 00:00:00,195.386,191.277,208.292,2
2025-01-04 00:00:00,2024-12-18 00:00:00,2025-01-21 00:00:00,223.163,217.964,250.2,17
2025-01-05 00:00:00,2025-01-04 00:00:00,2025-01-06 00:00:00,217.964,216.586,218.103,1
2025-01-13 00:00:00,2025-01-09 00:00:00,2025-01-17 00:00:00,197.5,188.423,219.409,4
